ReviewID,Review,Service,Environment,Price
0,"Wow does this place get packed!  I have never been here when it was easy to find a seat.  The view is the reason, it is great.  You are right on the Columbia with views of Portland.

The staff here is great.  The food is standard McMenamins which has improved the last few years.  Of course they feature McMenamins beers and drinks.  

Happy hour runs 3-6 daily and 10 to close on Friday and Saturday.",Positive,Moderate,Reasonable
1,"Tommy O's was Tommy So-So's ... but I am thankful for Aloha Hour (Happy Hour ) discounts.

 * Teriyaki Burger ($5) ... Dry patty, but basic burger (3 stars)
 * Coconut Crunchy Shrimp ($5) ... 3 Shrimp & so-so sauce (3 stars)
 * Hawaiian Meatballs ($5) ... Sweet and meaty (3 stars)
 * Pork Spring Rolls ($4) ... Fried, but served cold (2 stars)
 * Kalbi Ribs ($4) ... Little tough for galbi (2 stars)
 * 1$ off Draft Beer ... Ice cold 20oz glass mug (4 stars)

Olivia Z. and me were stuffed, but there's plenty more of Aloha Hour to try on our next visit:

 * Kalua Pork Quesadilla ($4)
 * Crispy Fries ($2)
 * Kalua Pork Nachos ($6)
 * Fish Tacos ($4)
 * Tempura Veggies ($4)
 * Edamame ($2)
 * Pork Lettuce Wraps ($7)
 * Fish & Chips ($5)
 * Chicken Skewers ($4)

Service was outstanding from start to finish. There was only one other table of customers, so, it was spooky quiet, but we actually had a comfortable conversation while nibbling on the Happy Hour bites and sipping a local IPA. Thanks to the friendly service and Aloha Hour deals, Tommy O's Pacific Rim Bistro will be a part of our regular downtown Vancouver, WA happy hour rotation.",Positive,Good,Cheap
2,"What's up Beaches?

After a couple weeks in SW Washington & Portland, I learned that locals don't go to ""the beach."" Instead, everyone goes to ""the coast."" Beach, please ... noooo problem. As long there is still a daily happy hour at Beaches Restaurant & Bar along the Columbia River, I'll be happy staying right here, Beaches. Actually, I'll be twice as happy because happy hours are twice a day.

Happy Hours:
Daily: 3:00 - 6:00 pm 
Late Nite: 9:00 - 11:00 pm

Monday is special (as it usually requires alcohol after work) with HH 3:00 - 11:00 pm. The menu and deals vary between the regular and late happy hours, so, feel free to mix it up.

Yo, Beaches, here's what made me happy:

 * Beaches 1/2 Pound Burger ($4) Basic burger ... Cheese is extra
 * Blue Cheese Balsamic Salad ($3) with Romaine, Broccoli Slaw, Kale, Pears, & Hazelnuts
 * Tater Tots ($2) seasoned with Cajun Spice
 * 6 Cheese Bayou Mac ($4.75) loaded with Chicken, Andouille, & Ground Sausage
 * Ra-diculously Amazing Rocas ($5.95) Signature dessert of Beaches is a traditional Almond Roca with Dilettante Chocolate Amaretto Sauce 

Of course, the main focus of any happy hour is the alcohol (hence the happy) and a few rounds of Log Yard IPA ($3.50) from Backwoods Brewery (WA) kept me very happy.

So, Beaches, stay young 'n free (or at least discounted for happy hour) and we'll be Beachin' friends for a long time.",Undefined,Good,Cheap
3,"I almost hate to write this, as clearly others have had a much better experience than we did, but...

We arrived at 11 on a busy Sunday. Got a spot on the patio. Our server came by after a few min and took our first round of drink orders, but first, he grabbed my girlfriend's phone off the table and started playing with it as it has a Nintendo case. This was a sign as to how inappropriate the service would become. 

A few min later, he dropped off our drinks. My beer was 2 min after the others & my glass was warm to the touch.  I remarked to the table that I thought the beer wasn't cold before confirming that with a taste. It was room temp. I let him know; maybe that keg wasn't chilled yet? I ordered a different kind of draught beer.  Still warm. I told him the system was messed up and got a bottle, which was cold. 

Time passes, other patrons on either side of us get seated and order. Finally, he takes ours. We had the chicken & waffles, Pecan French toast, and the biscuits & gravy. 

More time passes. My mom orders another mimosa. He was very attentive to up-selling booze, to his credit. He comes back 5 min later and drops a water glass half full of mimosa next to my 58 year old mother. We all sort of look at him, and he yells ""it's all good! Changin' it up a bit!"" He walks away. 

It's now about 12:15, which means its been an hour and 15 min since we sat down, and 30+ min since we ordered food. The other tables, who sat after us, have their food. My mom gets hers first. We wait. 3 min later, my girlfriend gets hers. I get mine another couple of min later. The tables to the left and right have been brought salt& pepper grinders, ketchup, and rolled cutlery. We have none of these things. 



The fried chicken & waffles was decent. They put some kind of chili powder in/on the waffles, which is a strange flavour and probably not the best compliment for the already spiced fried chicken. The French toast was good, but it's only 2 small-ish pieces, which isn't really enough. My biscuits& gravy were pretty bad. The biscuits hadn't been warmed, and because they were small, they formed two small, doughy rocks with a bit of cold gravy atop. The sausage was profoundly under-seared, which gave it a rubbery texture and a dubious food-safety rating. 

A full 2 hours later, we finally received our cheque. He asked (for the first time) how the food was. I replied that it was ""just ok."" He said ""yeah...it's kinda hard to take things off the bill, except for the warm beer"" and left. I hunted him down and paid our nearly $100 bill. 

As we left, we all remarked that we felt kind of sick. My girlfriend parted ways and my mom and I went back to my house where she laid on the couch, feeling awful. My girlfriend called me shortly after and told me she threw up. I felt sick and had strange sounds coming from my stomach but went to work. 

The next day, my mom decided to call and speak to a manager about our awful experience. There ""is no manager there. "" (why?) she left a message. She informs them that she is avoiding posting a horrible review by instead calling them to work it out. The next day, she calls again during service. No answer. She calls back 6 times and leaves 2 messages before finally calling AGAIN and reaching Chewy 5 days later, who admits he got the message the day before. She tells him everything that I explained above. He gives the following excuses:

""We got a new cooling system for the beer, and our staff don't  know how to use it. Plus the server would have to stick his finger in the beer to know it was warm."" Funny, because I have hands and eyes that can detect cold and hot. 

In response to the water glass mimosa, the wait time, and the staggered arrival of the food: ""yeah, they were really busy.""

In response to us getting sick: ""yeah, that's bad.""

He offers no solution, so my mom suggests that he call me. He says he will, that day. It has been 3 days since then. 

I manage a restaurant in Vancouver. Let me tell you what I would have done, and HAVE done in this situation: 
1. Trained my kitchen staff in FoodSafe practices as to not poison people

2. Trained my serving staff to adjust their casual, brotastic serving style to something more professional when serving 2 women, one of whom is old enough to be their grandmother in all likelihood, and neither of whom are interested in being screamed at/talked over/having their space invaded and belongings played with/flirting with you. 

3. Shown the server/bartender/manager how to monitor & adjust the cooler temp. 

4. Advise guests BEFORE THEY ARE SEATED that there could be up to an hour wait for food, so they have the option of choosing another place

5. Respond to phone calls from concerned guests immediately, so they don't end up posting really bad reviews. 

This is the longest & worst review I've ever posted, because this was the worst (and quite possibly the longest) dining experience I have ever had in Vancouver, if not ever.",Negative,Good,Undefined
4,"Half-price beer all-day Mondays and Thursdays!

You can take your local puny 2-hour happy hour and shove it twice a week. Oh, Brewtopia has a happy hour (3:00 - 5:30 daily) as well if you are looking for additional discounts on appetizers and grub, too.

Since I'd already eaten, I just popped into Brewtopia for a beer and to watch MNF on TV. For munchies, I got an order of the Hand-cut Fries ($6.99) with Sea Salt and Black Pepper. What the soft limp fries lacked in quality was made up for in quantity as the largest single serving of fries I've ever seen. Team Carbs!

Of course, Brewtopia is known for its variety of local, domestic, and international draft beers. I chose the most local beer of all: Loowit Shadow Ninja (Vancouver, WA) from the IPA section. With 50%-off, it was just $3.50. This ninja brew has a sneaky 49 IBU and 6.4% ABV.

Brewtopia is huge with a couple large projector TVs and probably enough seating for 100 people. It's also somehow connected to the Cinetopia theater in Vancouver Mall, but I didn't care or spend time to find out how. I also have no idea why it was empty with only a handful of customers. My hunch is that most folks don't yet know about the half-price suds. So, I repeat ....

Half-price beer all-day Mondays and Thursdays!",Undefined,Moderate,Expensive
5,"I am Afghani and Afghan Horsemen does not serve Afghani food.  They are serving food that is very similar to the Greeks! Afghanistan is not anywhere close to Greece, I don't know why do they say that one of the Afghanistan's main ingredients is dill?? That's wrong, Myself and my parents have never seen or tasted dill before in our life!  Taziki sauce WTF is that.. had no clue what it was until I had Opa!

Before meeting an Arab friend in Canada, I didn't know what a Domeh was until she fed me and said it's their traditional food.  We don't have any stuffed vegetables or vegg/beef stuffed grape wine-leaves. 

Yes, we do have bolani - pizza crust stuffed with potatoes & spinach.

Hey Afghan Horsemen, how about kofta? Meatballs cooked in delicious soup served with Afghani naan with a side salad of onions & green olives (big chunks of onions with salt sprinkled over and olives (yomyom)).

And us Afghans eat Salata (made up of tomato, onions, cucumber & cilantro) only with rice (which must be boiled in broth from beef stew) served with either chicken, lamb or beef.

And STOP serving tea in tea-packages! WTF! We make tea using the loose leafs only, with few cardamons in it. Stop charging for teas, it's an Afghan tradition, when ever a mehman (guests/visitors) comes to your home, you must do hather-dari (serve them) with green or black tea - and you must ask them whether they prefer green or black tea, and again STOP charging. That should be complimentary. Every ethnic restaurant must have a complimentary item on their menu! 

This place is obliviously run by NON-Afghan management because to be very honest with you readers, the food Afghan Horsemen calls Afghani food, is NOT Afghani at all.  

WTF is up with all the mis-match toshaks and pillows (seating cushion with pillows), why do they look so color-full, you are not in the business of selling garments for weddings, use one color and stick to it -  it's considered Cheap when you have multi colored linens for your toshaks & pillows, and wash them for once!  Also, wash all the drapes! They are dusty!! Dust off the chandeliers!

Stop using so much oil in everything - specially the vegetarian Sabzi-kind dishes! Gross!

I will come back and try your food again - if you don't use all of the tips provided, then I will bring my mother-jaan down there and she will discipline you!",Negative,Bad,Reasonable
6,"Delicious!  Chopping up the porchetta's outer crust and making the whole sandwich have extra crunch is genius.  Thanks, Meat and Bread!",Positive,Undefined,Undefined
7,"I've had tap water that was less bland than this! In a recent Globe & Mail interview, famous Chef Vikram Vij says ""I'm sick of Indian food"" ... and it certainly shows! I'm sick of his food too! You know how sometimes something is just so very bad that it comes back full circle and ends up being so good? This is not that. Good taste is diametrically opposed to Vij's. This is not Indian whatsoever. A good Indian resto may or may not cater to non-vegetarian patrons but in any case it full well needs needs needs to have excellent vegetarian items. ""Ahimsa"" is the Sanskrit term for the ancient philosophy of non-violence. And goddamn if my tastebuds and sensibilities weren't assaulted and offended. As a racially ambiguous and post-race individual with a mixed ethnocultural heritage; half Indo-Guyanese-Canadian and half Qu??b??cois-French-Canadian ... and having had Indian food in (to name a few places) my Indian grandmother's kitchen in Montr??al, restos in Montr??al, Boston, NYC, Vancouver, Los Angeles, Bangkok, Tokyo, Greenville S.C., London, Amsterdam and all around Northern India for like six weeks and having cooked Indian food for myself, my friends and my family since I was like fourteen years old ... I think I can definitively proclaim that this is not Indian cuisine whatsoever. It is more like pretentious pseudo haute cuisine ?? la fran??aise; a type of failed fusion involving some stale spices, bland lifeless portions and little effort. It might walk like a duck, it might talk like a duck but it's a chicken. Well, my fine feathered friends, the case with Vij's is exactly the opposite of anything delicious. While the toilet is spotlessly clean and the wine glasses are nice and the ambiance is okay but kinda loud  ... the food is meh. Vij's is beyond the hype. The hype waited two hours for a seat, finally got a table, chewed this place up, took some strong antacids and subsequently had violent gastroenteritis. I wholeheartedly affirm that Vij's probably at one point had a soul and was indeed a ""real boy"" ... but that was once upon a time ... that was before it sold its soul (and its ability to make good food) in a Faustian stroke of treachery in exchange for some paltry C-list notoriety. I'm sure the food was good when there was a place on Broadway but the hype burned it all to the ground. The hype killed it dead. The hype killed everything good about this place. Frankly, I'm embarrassed on behalf of Vij's, on behalf of Vancouver and on behalf of Canada and the CBC. There is such good, damned good, Indian cuisine in Vancouver. Isn't Vij's supposed to be one of the best Indian restos in the entire world? Nope, no Michelin stars here. Vij's just brings a knife to a gunfight. It brings a puerile scratch and an infantile pull of the hair, you know ... like a bottle rocket, to an all out Cold War style ICBM arms race. Seriously. This would be a total travesty if we didn't have the ghost of Christmas future to deal with. That ghost of Christmas future ... she wasn't a ghost, she was actually real; you never knew her name but she did make your iPhone when she was five years old ... with her small hands and big suffering in a Chinese sweatshop. Enough suffering; Indian food is supposed to envelop you in a sensuously warming glow of perfectly balanced flavour. It is ancient, nuanced, inclusive and scrumptious. It is the true and tested culinary science of spice. Indian food leaves you satiated and fulfilled. Vij's on the other hand ... gives you heartburn. Heartburn! Go to any five dollar Indian hole-in-the-wall in Vancouver and you'll have a delicious, filling and oh so wonderful meal ... without heartburn. But at Vij's you'll spend 250$ and it doesn't matter what you order ... you'll be served a ghastly and flavourless concoction of oiliness. There is a dearth of choice with the vegetarian options. The only thing worth eating here is the free amuse-bouche that they serve while you wait for two hours ... also the chai and mango lassi as well as their highballs are good. I love cardamom in any form. So, the food was meh. Please, please, just go elsewhere. Go to Chutney Villa on Broadway and Main or Annapurna on 4th Avenue or House of Dosas on Kingsway or Saravana Bhavana in the Toronto area or Thanjai in Montr??al. Anybody that has the gall to wait in line for this food whilst exercising common sense and acknowledging the multitude masses of humanity the world over for whom poverty and malnourishment are simply second nature...are yellow bellied posers with the intestinal fortitude of lily-livered chicken shits. Instead of standing in line here ... volunteer at your local InSite, take a stand and protest against institutional inaction concerning murdered and missing First Nations women in the Downtown Eastside and across Canada, build a home or bring clean drinking water to the Attawapiskat First Nation, go to Darfur and build a well or try to raise awareness about the global pandemic of violence against women. Namaste!",Positive,Undefined,Expensive
8,"Olivia Z. and me both got crabs from Joe ... cause Joe's got crabs and isn't shy about sharin' ... as long as you're willing to pay the price.

Joe's Classic Steampot ($27) features Antartic King Crab Legs, Snow Crab Legs, Shrimp, and Smoked Sausage. Much like that coed in Cabo, it's a steamy and hot mess loaded with crabs. 

Olivia Z. and me doubled down on our crab fever by getting Joe's Classic Steampot for 2 ($46) with twice the crabs. Sharing means caring ... even if it's crabs, I guess.

We arrived on a slow night and lucked into $1 Oysters, too. So, it was impossible to resist getting a dozen of the 1 buck shucks to share, too. I have no idea what kind of Oysters were served, but they were huge ... Not the freshest, but probably the biggest and easily worth a dollar.

Since it was slow, service was fine until they started cleaning up for the night (2 hours before closing time). We had to skip a 2nd round of drinks, walk in search of service once, and then hunt for someone to bring us the check.

Joe's Crab Shack on the Columbia River ... with a view of the iconic I-5 bridge connecting Portland with Vancouver ... is an a-ok choice when you really, really want crabs and can't afford that exotic vacation like when you were younger.",Negative,Moderate,Reasonable
9,"After what was once my fave resto had served its course in GT, I wondered what would fill its welcoming space? Enter Keisuke Itoh (a silent partner with world-renowned chef Nobu Matsuhisa) and Takuya Motohashi's new casual chic Japanese eatery: Shirakawa. The restaurant specializes in Japanese sushi, teppan (iron) grilled high-end Kuroge Wagyu beef from Japan. 

The space was reminiscent of Boneta with a few subtle changes; an interesting new wall mural for one. The hostess and server were both welcoming and warm, as were the chefs that beamed smiles from the kitchen;  the food offered a refreshing new Japanese addition to GT. Since the place is new and they are just working out the kinks, it was relatively empty, but with the doors wide open it was a great place to spend a summer eve.

We skipped the steak because in truth, it's not really a steak place, but I would recommend every single thing that we ordered. 

1. Cocktails: while interesting, the list was short and too heavy for my liking; I opted for my fave. Joie Rose. If you are a fan of white with a bit more body, or a red that is slightly lighter given the welcoming summer heat, then this is the wine for you. It's one of my top 3 of all time. It's not sweet at all and yes--it's that good. 

2. Japanese pickles-assortment of vegetables marinated in amazu which is a Japanese sweet and sour sauce- delicious and a great start. 

3. Gastown Gyoza-pork, and mixed vegetables wrapped, served with spicy chili oil; Absolutely fresh and delicious. 

4. Nigiri- selection of 5 of our best cuts of premium sushi and tuna roll with black vinegar sushi rice. My fave was the ahi tuna; the bbq eel was also a hit if you enjoy eel.

5. Gyokai Risotto- grilled prawns, scallops, salmon served with snap peas and white cream risotto, finished with dried miso. The risotto was fresh and creamy and the seafood was all amazing. I especially enjoyed the prawns. 

6. Gindara- sakura chip smoked black cod, saut??ed mushrooms and sundried tomato. Melt in your mouth fish. A little broth might have added to the flavouring of the dish, but still a definite win.

Instead of dessert, we opted for another beverage. We left highly satisfied. My one minor complaint would be that the bathrooms were not too clean, which was odd considering that the place was 1/3 full. Overall, when craving something more grown up and tastier than Guu but less formal than Miku, this is the place for you; it comes highly recommended by me.",Positive,Good,Undefined
